DIAGNOSIS CODE,LONG DESCRIPTION,SHORT DESCRIPTION
001_0,Cholera due to vibrio cholerae,Cholera d/t vib cholerae
001_1,Cholera due to vibrio cholerae el tor,Cholera d/t vib el tor
001_9,"Cholera, unspecified",Cholera NOS
002_0,Typhoid fever,Typhoid fever
002_1,Paratyphoid fever A,Paratyphoid fever a
002_2,Paratyphoid fever B,Paratyphoid fever b
002_3,Paratyphoid fever C,Paratyphoid fever c
002_9,"Paratyphoid fever, unspecified",Paratyphoid fever NOS
003_0,Salmonella gastroenteritis,Salmonella enteritis
003_1,Salmonella septicemia,Salmonella septicemia
003_2_0,"Localized salmonella infection, unspecified",Local salmonella inf NOS
003_2_1,Salmonella meningitis,Salmonella meningitis
003_2_2,Salmonella pneumonia,Salmonella pneumonia
003_2_3,Salmonella arthritis,Salmonella arthritis
003_2_4,Salmonella osteomyelitis,Salmonella osteomyelitis
003_2_9,Other localized salmonella infections,Local salmonella inf NEC
003_8,Other specified salmonella infections,Salmonella infection NEC
003_9,"Salmonella infection, unspecified",Salmonella infection NOS
004_0,Shigella dysenteriae,Shigella dysenteriae
004_1,Shigella flexneri,Shigella flexneri
004_2,Shigella boydii,Shigella boydii
004_3,Shigella sonnei,Shigella sonnei
004_8,Other specified shigella infections,Shigella infection NEC
004_9,"Shigellosis, unspecified",Shigellosis NOS
005_0,Staphylococcal food poisoning,Staph food poisoning
005_1,Botulism food poisoning,Botulism food poisoning
005_2,Food poisoning due to Clostridium perfringens (C. welchii),Food pois d/t c. perfrin
005_3,Food poisoning due to other Clostridia,Food pois: clostrid NEC
005_4,Food poisoning due to Vibrio parahaemolyticus,Food pois: v. parahaem
005_8_1,Food poisoning due to Vibrio vulnificus,Food poisn d/t v. vulnif
005_8_9,Other bacterial food poisoning,Bact food poisoning NEC
005_9,"Food poisoning, unspecified",Food poisoning NOS
006_0,Acute amebic dysentery without mention of abscess,Ac amebiasis w/o abscess
006_1,Chronic intestinal amebiasis without mention of abscess,Chr amebiasis w/o absces
006_2,Amebic nondysenteric colitis,Amebic nondysent colitis
006_3,Amebic liver abscess,Amebic liver abscess
006_4,Amebic lung abscess,Amebic lung abscess
006_5,Amebic brain abscess,Amebic brain abscess
006_6,Amebic skin ulceration,Amebic skin ulceration
006_8,Amebic infection of other sites,Amebic infection NEC
006_9,"Amebiasis, unspecified",Amebiasis NOS
007_0,Balantidiasis,Balantidiasis
007_1,Giardiasis,Giardiasis
007_2,Coccidiosis,Coccidiosis
007_3,Intestinal trichomoniasis,Intest trichomoniasis
007_4,Cryptosporidiosis,Cryptosporidiosis
007_5,Cyclosporiasis,Cyclosporiasis
007_8,Other specified protozoal intestinal diseases,Protozoal intest dis NEC
007_9,Unspecified protozoal intestinal disease,Protozoal intest dis NOS
008_0_0,"Intestinal infection due to E. coli, unspecified",Intest infec e coli NOS
008_0_1,Intestinal infection due to enteropathogenic E. coli,Int inf e coli entrpath
008_0_2,Intestinal infection due to enterotoxigenic E. coli,Int inf e coli entrtoxgn
008_0_3,Intestinal infection due to enteroinvasive E. coli,Int inf e coli entrnvsv
008_0_4,Intestinal infection due to enterohemorrhagic E. coli,Int inf e coli entrhmrg
008_0_9,Intestinal infection due to other intestinal E. coli infections,Int inf e coli spcf NEC
008_1,Intestinal infection due to arizona group of paracolon bacilli,Arizona enteritis
008_2,Intestinal infection due to aerobacter aerogenes,Aerobacter enteritis
008_3,Intestinal infection due to proteus (mirabilis) (morganii),Proteus enteritis
008_4_1,Intestinal infection due to staphylococcus,Staphylococc enteritis
008_4_2,Intestinal infection due to pseudomonas,Pseudomonas enteritis
008_4_3,Intestinal infection due to campylobacter,Int infec campylobacter
008_4_4,Intestinal infection due to yersinia enterocolitica,Int inf yrsnia entrcltca
008_4_5,Intestinal infection due to Clostridium difficile,Int inf clstrdium dfcile
008_4_6,Intestinal infection due to other anaerobes,Intes infec oth anerobes
008_4_7,Intestinal infection due to other gram-negative bacteria,Int inf oth grm neg bctr
008_4_9,Intestinal infection due to other organisms,Bacterial enteritis NEC
008_5,"Bacterial enteritis, unspecified",Bacterial enteritis NOS
008_6_1,Enteritis due to rotavirus,Intes infec rotavirus
