 disease,code
 Cholera due to vibrio cholerae,0010
 Cholera due to vibrio cholerae el tor,0011
 Cholera_ unspecified,0019
 Typhoid fever,0020
 Paratyphoid fever A,0021
 Paratyphoid fever B,0022
 Paratyphoid fever C,0023
 Paratyphoid fever_ unspecified,0029
 Salmonella gastroenteritis,0030
 Salmonella septicemia,0031
Localized salmonella infection_ unspecified,0032
Salmonella meningitis,0032
Salmonella pneumonia,0032
Salmonella arthritis,0032
Salmonella osteomyelitis,0032
Other localized salmonella infections,0032
 Other specified salmonella infections,0038
 Salmonella infection_ unspecified,0039
 Shigella dysenteriae,0040
 Shigella flexneri,0041
 Shigella boydii,0042
 Shigella sonnei,0043
 Other specified shigella infections,0048
 Shigellosis_ unspecified,0049
 Staphylococcal food poisoning,0050
 Botulism food poisoning,0051
 Food poisoning due to Clostridium perfringens (C. welchii),0052
 Food poisoning due to other Clostridia,0053
 Food poisoning due to Vibrio parahaemolyticus,0054
Food poisoning due to Vibrio vulnificus,0058
Other bacterial food poisoning,0058
 Food poisoning_ unspecified,0059
 Acute amebic dysentery without mention of abscess,0060
 Chronic intestinal amebiasis without mention of abscess,0061
 Amebic nondysenteric colitis,0062
 Amebic liver abscess,0063
 Amebic lung abscess,0064
 Amebic brain abscess,0065
 Amebic skin ulceration,0066
 Amebic infection of other sites,0068
 Amebiasis_ unspecified,0069
 Balantidiasis,0070
 Giardiasis,0071
 Coccidiosis,0072
 Intestinal trichomoniasis,0073
 Cryptosporidiosis,0074
 Cyclosporiasis,0075
 Other specified protozoal intestinal diseases,0078
 Unspecified protozoal intestinal disease,0079
Intestinal infection due to E. coli_ unspecified,0080
Intestinal infection due to enteropathogenic E. coli,0080
Intestinal infection due to enterotoxigenic E. coli,0080
Intestinal infection due to enteroinvasive E. coli,0080
Intestinal infection due to enterohemorrhagic E. coli,0080
Intestinal infection due to other intestinal E. coli infections,0080
 Intestinal infection due to arizona group of paracolon bacilli,0081
 Intestinal infection due to aerobacter aerogenes,0082
 Intestinal infection due to proteus (mirabilis) (morganii),0083
Intestinal infection due to staphylococcus,0084
Intestinal infection due to pseudomonas,0084
Intestinal infection due to campylobacter,0084
Intestinal infection due to yersinia enterocolitica,0084
Intestinal infection due to Clostridium difficile,0084
Intestinal infection due to other anaerobes,0084
Intestinal infection due to other gram-negative bacteria,0084
Intestinal infection due to other organisms,0084
 Bacterial enteritis_ unspecified,0085
Enteritis due to rotavirus,0086
Enteritis due to adenovirus,0086
Enteritis due to norwalk virus,0086
Enteritis due to other small round viruses [SRV's],0086
Enteritis due to calicivirus,0086
Enteritis due to astrovirus,0086
Enteritis due to enterovirus nec,0086
Enteritis due to other viral enteritis,0086
 Intestinal infection due to other organism_ not elsewhere classified,0088
 Infectious colitis_ enteritis_ and gastroenteritis,0090
 Colitis_ enteritis_ and gastroenteritis of presumed infectious origin,0091
 Infectious diarrhea,0092
 Diarrhea of presumed infectious origin,0093
Primary tuberculous infection_ unspecified,0100
Primary tuberculous infection_ bacteriological or histological examination not done,0100
Primary tuberculous infection_ bacteriological or histological examination unknown (at present),0100
Primary tuberculous infection_ tubercle bacilli found (in sputum) by microscopy,0100
Primary tuberculous infection_ tubercle bacilli not found (in sputum) by microscopy_ but found by bacterial culture,0100
