DRUG_ID,ICD,DRUG_DESC,ICD_NAME
7676,001,Opium,Cholera
18631,001,Azithromycin,Cholera
142446,001,tetracycline hydrochloride,Cholera
3154,001,Demeclocycline,Cholera
236782,001,Saccharomyces boulardii,Cholera
81993,001,Demeclocycline Hydrochloride,Cholera
10831,001,Sulfamethoxazole / Trimethoprim,Cholera
4601,001,Furazolidone,Cholera
3640,001,Doxycycline,Cholera
6980,001,Minocycline,Cholera
10395,001,Tetracycline,Cholera
2915,001,Creosote,Cholera
8004,001,Pentobarbital,Cholera
8134,001,Phenobarbital,Cholera
221134,001,opium tincture,Cholera
59838,001,Halazone,Cholera
23663,001,doxycycline hyclate,Cholera
7821,001,Oxytetracycline,Cholera
2348,001,Chloramphenicol,Cholera
602738,001,Saccharomyces boulardii lyo,Cholera
3640,001.0,Doxycycline,Cholera due to Vibrio cholerae
7676,001.0,Opium,Cholera due to Vibrio cholerae
221134,001.0,opium tincture,Cholera due to Vibrio cholerae
4601,001.0,Furazolidone,Cholera due to Vibrio cholerae
7821,001.0,Oxytetracycline,Cholera due to Vibrio cholerae
2348,001.0,Chloramphenicol,Cholera due to Vibrio cholerae
10831,001.0,Sulfamethoxazole / Trimethoprim,Cholera due to Vibrio cholerae
6980,001.0,Minocycline,Cholera due to Vibrio cholerae
8134,001.0,Phenobarbital,Cholera due to Vibrio cholerae
3154,001.0,Demeclocycline,Cholera due to Vibrio cholerae
142446,001.0,tetracycline hydrochloride,Cholera due to Vibrio cholerae
23663,001.0,doxycycline hyclate,Cholera due to Vibrio cholerae
81993,001.0,Demeclocycline Hydrochloride,Cholera due to Vibrio cholerae
602738,001.0,Saccharomyces boulardii lyo,Cholera due to Vibrio cholerae
18631,001.0,Azithromycin,Cholera due to Vibrio cholerae
8004,001.0,Pentobarbital,Cholera due to Vibrio cholerae
236782,001.0,Saccharomyces boulardii,Cholera due to Vibrio cholerae
59838,001.0,Halazone,Cholera due to Vibrio cholerae
2915,001.0,Creosote,Cholera due to Vibrio cholerae
